ID_Depense,Plaque,Date,Categorie,Description,Montant
1,DEF456,17-05-2026,E,Rotation des pneus,245.95
2,ABC123,07-01-2026,E,Remplacement essuie-glaces,158.52
3,ABC123,29-04-2026,C,Essence Esso,58.14
4,DEF456,24-02-2026,R,Remplacement alternateur,434.33
5,JKL321,08-04-2026,E,Changement de pneus hiver,199.86
6,GHI789,01-05-2026,E,Changement de pneus hiver,215.33
7,ABC123,31-03-2026,C,Essence Petro-Canada,53.13
8,DEF456,16-06-2026,C,Plein d'essence,96.87
9,ABC123,06-01-2026,R,Reparation transmission,299.52
10,DEF456,30-01-2026,R,Reparation transmission,505.17
11,DEF456,12-02-2026,E,Changement de pneus hiver,201.05
12,ABC123,07-01-2026,R,Remplacement alternateur,231.07
13,GHI789,07-04-2026,C,Essence Petro-Canada,104.48
14,JKL321,26-06-2026,C,Plein d'essence,54.56
